task No.,task_name,start_time,end_time,execution_time,earliest_time,latest_time,resource_load
44,cam_fi.usp_fact_fi_actl_pnl_data_set,446,461,15,2,1439,0.035
45,cam_fi.usp_fact_fi_actl_pnl_data_set_new,446,458,12,1,1436,0.051
46,cam_fi.usp_fact_fi_meas_daily_transaction_tmc_projection_delta_full,1105,1108,3,1,1437,0.038
47,cam_fi.usp_fact_fi_pcsd_playbook_actual_backlog_dataset,1189,1190,1,2,1436,0.055
48,cam_fi.usp_fact_fi_pcsd_playbook_actual_dataset,1101,1103,2,2,1437,0.047
49,cam_fi.usp_fact_fi_pcsd_playbook_adhoc_dataset,1189,1190,1,3,1439,0.034
50,cam_fi.usp_fact_fi_pcsd_playbook_bpc_dataset,1123,1124,1,1,1439,0.045
51,cam_fi.usp_fact_fi_playbook_ssg_dataset,926,927,1,0,1437,0.058
52,cam_fi.usp_fact_fi_qbr_por_consolidated_dataset,1123,1124,1,4,1439,0.037
53,cam_fi.usp_fact_fin_qbr_por_consolidated_data_set_w_qtd,421,424,3,1,1435,0.047
54,cam_fi.usp_fact_isg_bms_fin_data_set,1110,1113,3,1,1437,0.057
55,cam_fi.usp_fact_isg_fi_bgt_center_l3_mapping,901,902,1,2,1437,0.047
56,cam_fi.usp_fact_isg_fi_mthly_trend_report,764,765,1,0,1436,0.059
57,cam_fi.usp_fact_isg_fi_subpackage_mapping,1123,1124,1,0,1439,0.044
58,cam_fi.usp_fact_isg_idc_tracker,902,904,2,0,1438,0.038
59,cam_fi.usp_fact_isg_operational_and_ext_pcon,1024,1025,1,0,1438,0.036
60,cam_fi.usp_fact_isg_pipeline,1124,1125,1,1,1439,0.051
61,cam_fi.usp_fact_isg_seg_master_coo_budapest,615,616,1,1,1435,0.042
62,cam_fi.usp_fact_isg_seg_master_coo_cost,902,903,1,0,1437,0.032
63,cam_fi.usp_fact_isg_seg_master_coo_monterrey,1024,1025,1,1,1438,0.05
64,cam_fi.usp_fact_isg_seg_master_kpi_hpc,902,903,1,1,1437,0.03
65,cam_fi.usp_fact_isg_seg_master_kpi_mega,1024,1025,1,1,1438,0.047
66,cam_fi.usp_fact_isg_seg_master_kpi_pipeline_projection,1025,1026,1,2,1438,0.046
67,cam_fi.usp_fact_isg_seg_master_kpi_prc_loads,615,616,1,2,1435,0.056
68,cam_fi.usp_fact_isg_seg_master_kpi_prc_pipeline,1025,1026,1,4,1438,0.038
69,cam_fi.usp_fact_isg_seg_master_kpi_sale_ops,1025,1026,1,2,1438,0.051
70,cam_fi.usp_fact_isg_seg_master_kpi_server,616,617,1,2,1435,0.045
71,cam_fi.usp_fact_isg_seg_performance_geo_load_track,902,903,1,1,1437,0.03
72,cam_fi.usp_fact_isg_seg_performance_loads_data_set,1124,1125,1,2,1439,0.031
73,cam_fi.usp_fact_isg_seg_performance_order_loads_detail,902,903,1,1,1437,0.05
74,cam_fi.usp_fact_isg_sw_rev_by_vendor,616,617,1,4,1435,0.048
75,cam_fi.usp_fact_opslc_operation_dcg,903,904,1,4,1437,0.048
76,cam_fi.usp_fact_optimus_sw_details,1180,1182,2,3,1435,0.038
77,cam_fi.usp_fact_pcsd_backlog_master,1167,1170,3,3,1438,0.059
78,cam_fi.usp_fact_pcsd_fi_backlog_meas_consolidated_datasetted_dataset,1187,1189,2,0,1439,0.052
79,cam_fi.usp_fact_pcsd_fi_backlog_meas_consolidated_datasetted_dataset_new,999,1008,9,4,1435,0.054
80,cam_fi.usp_fact_prc_new_ebr_sti_master_delta,1031,1032,1,2,1438,0.035
81,cam_fi.usp_fact_qtd_load_query,1025,1026,1,2,1438,0.043
82,cam_fi.usp_fact_row_fi_meas_master_delta_full,1143,1159,16,2,1438,0.055
83,cam_fi.usp_fact_row_fi_svc_upsell_meas_master,1025,1037,12,0,1438,0.057
84,cam_fi.usp_fact_row_fin_pnl_statement_sum_with_full_pti,1124,1125,1,4,1439,0.037
85,cam_fi.usp_fact_row_new_ebr_master_all_delta,274,286,12,1,1439,0.043
86,cam_fi.usp_fact_ssg_gaap_projection_amortization,84,116,32,2,1435,0.049
87,cam_fi.usp_fact_ssg_gaap_projection_amortization_sum,321,329,8,2,1437,0.04
88,cam_fi.usp_fact_ssg_gaap_projection_daily_sum,1125,1126,1,3,1439,0.037
89,cam_fi.usp_fact_swr_tracking,1171,1174,3,0,1436,0.046
90,cam_fi.usp_fact_wh_shipext_by,1026,1027,1,4,1438,0.042
91,cam_fi.usp_fact_ww_aging_mv_fiag003a,1026,1027,1,1,1438,0.03
92,cam_fi.usp_fi_pcsd_bpc_dataset_series,1026,1027,1,1,1438,0.046
93,cam_fi.usp_fi_pcsd_prd_series,1112,1113,1,3,1438,0.034
94,cam_fi.usp_fin_meas_profit_performance_data_set,1026,1028,2,2,1439,0.033
95,cam_fi.usp_fin_qtr_business_review_and_plan_of_record_data_set,493,499,6,4,1439,0.042
96,cam_fi.usp_finance_pcsd_playbook_fctot_case,903,904,1,0,1437,0.055
97,cam_fi.usp_isg_idc_manual_input_file,1125,1126,1,3,1439,0.036
98,cam_fi.usp_pbi_analysis_bw_row,764,765,1,4,1436,0.034
99,cam_fi.usp_prc_new_ebr_master_fact_delta,382,390,8,1,1439,0.037
100,cam_fi.usp_pscd_fin_meas_playbook_data_set,646,648,2,1,1436,0.035
101,cam_ms.USP_fact_prc_rel_opportunity,616,617,1,2,1435,0.053
102,cam_ms.USP_fact_prc_rel_quotation_proj_principal_information;,617,620,3,3,1437,0.048
103,cam_ms.USP_fact_prc_rel_quotation_proj_product_information;,326,332,6,2,1435,0.03
104,cam_ms.usp_csdc_fact_prc_con_aged_inv_by_product_no_detail,765,768,3,2,1438,0.043
105,cam_ms.usp_csdc_fact_prc_con_logical_inv_order_detail,903,904,1,3,1437,0.045
106,cam_ms.usp_csdc_fact_prc_con_pushout_by_product_no_detail,765,766,1,3,1436,0.038
107,cam_ms.usp_csdc_fact_prc_con_pushout_by_serial_no_detail,148,166,18,1,1436,0.059
108,cam_ms.usp_csdc_fact_prc_con_sell_through_in_by_product_no_detail,617,618,1,3,1435,0.053
109,cam_ms.usp_csdc_fact_prc_con_sell_through_in_by_serial_no_detail,765,766,1,1,1436,0.042
110,cam_ms.usp_csdc_fact_prc_con_sell_through_in_extension_detail,617,618,1,0,1435,0.053
111,cam_ms.usp_csdc_fact_prc_con_serial_no_owner,617,618,1,2,1435,0.038
112,cam_ms.usp_csdc_fact_prc_con_transfer_by_product_no_detail,618,619,1,1,1435,0.052
113,cam_ms.usp_csdc_fact_prc_con_transfer_by_serial_no_detail,766,767,1,2,1436,0.033
114,cam_ms.usp_csdc_job_run_cam,1236,1237,1,4,1438,0.046
115,cam_ms.usp_csdc_pushout_detail_cam,1237,1250,13,3,1435,0.044
116,cam_ms.usp_csdc_ssdc_pc_region_si_data_offer_summary,423,428,5,2,1437,0.054
117,cam_ms.usp_csdc_ssdc_region_inv_data_offer_summary,231,243,12,4,1436,0.059
118,cam_ms.usp_csdc_ssdc_region_pushout_data_offer_summary,495,499,4,0,1437,0.047
119,cam_ms.usp_csdc_ssdc_region_sti_data_offer_summary,618,623,5,2,1439,0.036
120,cam_ms.usp_csdc_ssdc_sd_region_si_data_offer_summary,495,498,3,2,1436,0.038
121,cam_ms.usp_csdc_stock_adj_cam,1269,1270,1,2,1436,0.043
122,cam_ms.usp_csdc_sync_inv_age_cam,1269,1272,3,0,1438,0.035
123,cam_ms.usp_dim_acnt,1098,1099,1,1,1436,0.041
124,cam_ms.usp_dim_calendar,1125,1126,1,1,1439,0.031
125,cam_ms.usp_dim_isg_prc_calendar,903,904,1,0,1437,0.033
126,cam_ms.usp_dim_prc_acnt,1174,1178,4,4,1439,0.059
127,cam_ms.usp_dim_prc_product,1256,1269,13,3,1438,0.031
128,cam_ms.usp_dim_prc_sales_product_base,424,427,3,0,1435,0.042
129,cam_ms.usp_dim_prc_sales_product_div_mapping,766,768,2,1,1437,0.051
130,cam_ms.usp_dim_prc_sales_product_hier,496,498,2,3,1435,0.052
131,cam_ms.usp_dim_prc_sales_solution_hier,498,500,2,3,1435,0.044
132,cam_ms.usp_dim_prc_sales_solution_instance,766,768,2,3,1437,0.03
133,cam_ms.usp_dim_prc_sell_through_in_acnt,1236,1237,1,2,1435,0.054
134,cam_ms.usp_fact_isg_prc_cust_and_product_seg_loads,618,620,2,2,1436,0.035
135,cam_ms.usp_fact_isg_prc_cust_seg_pipeline,1026,1028,2,3,1439,0.059
136,cam_ms.usp_fact_isg_prc_full_data,1178,1201,23,2,1439,0.036
137,cam_ms.usp_fact_isg_prc_full_data_hb_sb,1178,1184,6,3,1436,0.058
138,cam_ms.usp_fact_isg_prc_full_data_holographic,1178,1182,4,1,1435,0.036
139,cam_ms.usp_fact_isg_prc_full_data_jv,1186,1189,3,1,1439,0.032
140,cam_ms.usp_fact_isg_prc_full_data_manual_billing,1184,1188,4,1,1439,0.037
141,cam_ms.usp_fact_isg_prc_full_data_psidc,619,623,4,1,1438,0.059
142,cam_ms.usp_fact_isg_prc_full_data_srv,1178,1184,6,1,1438,0.04
143,cam_ms.usp_fact_isg_prc_order_fulfill_with_pipeline,1124,1135,11,4,1438,0.04
144,cam_ms.usp_fact_isg_prc_pipeline,1124,1131,7,4,1437,0.048
145,cam_ms.usp_fact_isg_prc_svc_order_fulfill_with_pipeline,1126,1127,1,2,1439,0.048
146,cam_ms.usp_fact_prc_aggregated_sell_through_in,1271,1272,1,3,1435,0.047
147,cam_ms.usp_fact_prc_daily_fgi_all,620,624,4,0,1438,0.057
148,cam_ms.usp_fact_prc_daily_sell_through_in_target,1127,1128,1,1,1439,0.049
149,cam_ms.usp_fact_prc_idg_pc_sd_daily_sell_in,1127,1128,1,4,1439,0.03
150,cam_ms.usp_fact_prc_isg_backlog_snapshot,766,767,1,3,1436,0.042
151,cam_ms.usp_fact_prc_isg_daily_sell_in,621,624,3,4,1437,0.034
152,cam_ms.usp_fact_prc_isg_region_daily_sell_in,621,622,1,0,1435,0.035
153,cam_ms.usp_fact_prc_rel_contract_product,1027,1028,1,4,1438,0.031
154,cam_ms.usp_fact_prc_rel_opportunity,499,502,3,3,1436,0.048
155,cam_ms.usp_fact_prc_rel_order_detail,1128,1129,1,0,1439,0.059
156,cam_ms.usp_fact_prc_rel_order_plan_detail,903,905,2,1,1438,0.037
157,cam_ms.usp_fact_prc_rel_quotation_proj_approval,904,905,1,1,1437,0.037
158,cam_ms.usp_fact_prc_rel_quotation_proj_large_order,904,905,1,2,1437,0.053
159,cam_ms.usp_fact_prc_rel_quotation_proj_principal_information,499,504,5,4,1438,0.037
160,cam_ms.usp_fact_prc_rel_quotation_proj_product_information,243,253,10,1,1435,0.059
161,cam_ms.usp_fact_prc_rel_quotation_proj_product_information;,281,289,8,3,1435,0.048
162,cam_ms.usp_fact_prc_sell_through_in_adj_on_sell_in,766,767,1,0,1436,0.044
163,cam_ms.usp_fact_prc_smb_sti_bypn_jd_qty,1269,1271,2,0,1437,0.041
164,cam_ms.usp_fact_prc_ssdc_pushout_detail,1237,1252,15,4,1438,0.049
165,cam_ms.usp_fact_svc_prc_ssg_idg_rel_opportunity_booking_fcst_trend,1128,1129,1,2,1439,0.052
166,cam_ms.usp_fact_svc_prc_ssg_idg_rel_opportunity_booking_overall_fcst,622,623,1,0,1435,0.03
167,cam_ms.usp_fact_svc_prc_ssg_idg_rel_opportunity_industryline_fcst,767,769,2,0,1437,0.032
168,cam_ms.usp_fact_svc_prc_ssg_idg_rel_opportunity_region_fcst,1129,1130,1,2,1439,0.05
169,cam_ms.usp_fgi_lecoo_ms_inventory,1027,1028,1,1,1438,0.036
170,cam_ms.usp_rel_pushout_detail_cam,1129,1130,1,1,1439,0.054
171,cam_ms.usp_smb_sync_sn_owner_cam,1220,1226,6,4,1435,0.034
172,cam_ms.usp_ssdc_fgi_cam,1247,1250,3,4,1437,0.037
173,cam_ms.usp_ssdc_inv_data_offer_summary,300,307,7,2,1435,0.03
174,cam_ms.usp_ssdc_pushout_data_offer_summary,383,388,5,1,1436,0.034
175,cam_ms.usp_ssdc_smb_aged_inv_by_product_no,1423,1430,7,3,1438,0.049
176,cam_ms.usp_ssdc_sti_data_offer_summary,500,503,3,2,1436,0.056
177,cam_ms.usp_ssdc_transfer_data_offer_summary,767,769,2,4,1437,0.035
178,cam_ms.usp_sti_region_picking_to_bw,302,309,7,0,1435,0.049
179,cam_ms_dim_dist_chnl_worldwide_full,502,505,3,2,1436,0.051
180,cam_ms_dim_order_rsn_worldwide_full,623,625,2,0,1436,0.057
181,cam_ms_dim_product_div_worldwide_full,502,505,3,3,1436,0.034
182,cam_ms_dim_sale_office_worldwide_full,503,506,3,0,1436,0.048
183,cam_ms_dim_sale_org_worldwide_full,767,770,3,2,1438,0.048
184,cam_ms_dim_sale_transaction_ln_catg_worldwide_full,424,427,3,0,1435,0.047
185,cam_ms_dim_sale_transaction_type_worldwide_full,623,626,3,4,1437,0.045
186,cam_ms_dim_svc_group_worldwide_full,424,427,3,3,1435,0.041
187,cam_ms_fact_prc_isg_gp_target_completion_qtrly_snapshot_prc_full,904,906,2,2,1438,0.045
188,cam_ms_fact_prc_isg_order_gp_qtrly_snapshot_prc_full,624,626,2,4,1436,0.039
189,cam_ms_fact_prc_isg_quotation_proj_gp_qtrly_snapshot_prc_full,904,906,2,4,1438,0.058
190,cam_ms_prc_manual_region_sale_actl_prc_full,904,906,2,0,1438,0.035
191,cam_prd.usp_dim_portfolio_offering,921,922,1,3,1437,0.037
192,cam_prd.usp_exp_fact_product_performance_sum_by_mtm_geo,1130,1131,1,2,1439,0.038
193,cam_prd.usp_fact_product_performance_sum_by_mtm,918,921,3,4,1437,0.035
194,cam_prd.usp_fact_product_performance_sum_by_mtm_geo,768,770,2,2,1437,0.035
195,cam_prd.usp_fact_product_performance_sum_by_offering,918,921,3,1,1436,0.055
196,cam_sc.usp_cpu_dashboard,812,816,4,1,1437,0.052
197,cam_sc.usp_fact_idg_seg_performance_loads_data_set,905,906,1,2,1437,0.034
198,cam_sc.usp_fact_pcsd_backlog_prc_with_sales_info_am,1142,1167,25,0,1437,0.032
199,cam_sc.usp_fact_pcsd_backlog_with_sales_info_am_01,1142,1163,21,2,1439,0.059
200,cam_sc.usp_fact_pcsd_backlog_with_sales_info_am_02,1142,1158,16,4,1436,0.04
201,cam_sc.usp_fact_po_doc_flow,964,965,1,4,1435,0.054
202,cam_sc.usp_fact_po_item_general_info,1130,1131,1,3,1439,0.035
203,cam_sc.usp_fact_so_bom,503,505,2,0,1435,0.057
204,cam_srv.usp_con_push_out_detail,1230,1231,1,3,1438,0.056
205,cam_srv.usp_con_sell_out_manual,1273,1274,1,3,1436,0.052
206,cam_srv.usp_fact_svc_prc_con_retail_family_history_record,1273,1275,2,0,1438,0.059
207,cam_srv.usp_fact_svc_prc_con_retail_family_shop_spare_gold,924,926,2,4,1436,0.036
208,cam_srv.usp_fact_svc_prc_d365_opportunity,905,906,1,1,1437,0.042
209,cam_srv.usp_fact_svc_prc_opportunity,1232,1233,1,2,1439,0.05
210,cam_srv.usp_fact_svc_prc_order_detail,624,625,1,3,1435,0.042
211,cam_srv.usp_fact_svc_prc_pm_billing_estimate,1028,1029,1,3,1438,0.031
212,cam_srv.usp_fact_svc_prc_rel_historical_manual_data_for_kab,1233,1234,1,4,1435,0.058
213,cam_srv.usp_fact_svc_prc_rel_historical_manual_data_for_svc,1234,1235,1,4,1436,0.037
214,cam_srv.usp_fact_svc_prc_rel_opportunity,1130,1131,1,1,1439,0.042
215,cam_srv.usp_fact_svc_prc_report_details_part_con_sell_out,1235,1236,1,2,1436,0.056
216,cam_srv.usp_fact_svc_prc_report_details_part_con_sellin_omoc,1236,1238,2,1,1439,0.05
217,cam_srv.usp_fact_svc_prc_report_details_part_con_sellin_omoc_offsetting,905,906,1,2,1437,0.047
218,cam_srv.usp_fact_svc_prc_report_details_part_con_sellin_svc,1241,1242,1,4,1438,0.033
219,cam_srv.usp_fact_svc_prc_report_details_part_rel_sellin_svc,1242,1243,1,0,1435,0.038
220,cam_srv.usp_fact_svc_prc_report_details_part_smb_sellin_svc,1250,1251,1,2,1439,0.043
221,cam_srv.usp_fact_svc_prc_report_details_part_smb_stb_detail_bysn,1251,1252,1,3,1437,0.052
222,cam_srv.usp_fact_svc_prc_report_details_part_upsell_booking,1252,1253,1,4,1435,0.046
223,cam_srv.usp_fact_svc_prc_report_details_part_upsell_booking_offsetting,1028,1029,1,4,1438,0.03
224,cam_srv.usp_fact_svc_prc_smb_historical_manual_data,1254,1255,1,2,1439,0.058
225,cam_srv.usp_fact_svc_prc_smb_ms_loading,1255,1256,1,1,1439,0.048
226,cam_srv.usp_fact_svc_prc_smb_so_serial_no,1135,1138,3,2,1436,0.05
227,cam_srv.usp_fact_svc_prc_smb_stockage_report,951,958,7,3,1438,0.058
228,cam_srv.usp_fact_svc_prc_target_and_fcst_con,1256,1257,1,0,1435,0.032
229,cam_srv.usp_fact_svc_prc_target_and_fcst_rel,1257,1258,1,2,1439,0.051
230,cam_srv.usp_fact_svc_prc_target_and_fcst_rel_kab,1258,1259,1,1,1436,0.05
231,cam_srv.usp_fact_svc_prc_target_and_fcst_smb,1273,1274,1,0,1435,0.038
232,cam_srv.usp_fact_svc_prc_ttl_gaap,624,625,1,0,1435,0.034
233,cam_srv.usp_fact_svc_report_details_con_handwork,1274,1275,1,0,1438,0.044
234,cam_srv.usp_fact_svc_report_details_con_sellin_lecoo_ms,1253,1254,1,2,1439,0.043
235,cam_srv.usp_fact_svc_report_details_con_sellin_ms,1259,1260,1,0,1437,0.049
236,cam_srv.usp_fact_svc_report_details_rel_handwork,1270,1271,1,2,1435,0.038
237,cam_srv.usp_fact_svc_report_details_rel_sellin_ms,1260,1263,3,0,1438,0.054
238,cam_srv.usp_fact_svc_report_details_smb_handwork,1272,1273,1,1,1438,0.057
239,cam_srv.usp_fact_svc_report_details_smb_sellin_lecoo_ms,1263,1264,1,1,1435,0.033
240,cam_srv.usp_fact_svc_report_details_smb_sellin_ms,1264,1265,1,3,1436,0.039
241,cam_srv.usp_sell_out_jd_ka,1265,1266,1,3,1439,0.046
242,cam_srv.usp_sell_out_sda_store_posa,1266,1267,1,4,1436,0.044
243,cam_srv.usp_sell_out_sda_store_svc_other,1267,1268,1,1,1436,0.054
244,cam_srv.usp_smb_svc_sda_main_detail,1268,1270,2,1,1439,0.032
245,cam_srv.usp_smb_svc_sda_sunny_detail,1270,1273,3,0,1438,0.039
246,cam_srv_ww.usp_dim_svc_fiscal_dt_flg,625,626,1,2,1435,0.048
247,cam_srv_ww.usp_dim_svc_material,1131,1132,1,1,1439,0.058
248,cam_srv_ww.usp_dim_svc_product_hier,768,769,1,4,1436,0.054
249,cam_srv_ww.usp_fact_svc_booking_simulation_report,1245,1258,13,4,1436,0.059
250,cam_srv_ww.usp_fact_svc_booking_simulation_report_recon,1245,1254,9,3,1436,0.031
251,cam_srv_ww.usp_fact_svc_case_fix_on_phone,1131,1132,1,4,1439,0.056
252,cam_srv_ww.usp_fact_svc_subs_active_lease_report,1028,1030,2,1,1439,0.058
253,cam_srv_ww.usp_fact_svc_subs_billing,768,769,1,4,1436,0.037
254,cam_srv_ww.usp_fact_svc_subs_contract,625,627,2,2,1436,0.032
255,dwc_ext.usp_ap_pc_tracker_split_hist,625,628,3,0,1437,0.03
256,dwc_ext.usp_ap_pcd_tracker_pc_model_channel_hist,504,507,3,2,1436,0.049
257,dwc_ext.usp_ap_pcd_tracker_pc_model_segment_hist,769,772,3,0,1438,0.053
258,dwc_ext.usp_cn_ess_tracker_province_hist,426,429,3,3,1435,0.038
259,dwc_ext.usp_cn_ess_tracker_sds_hci_hist,769,772,3,0,1438,0.041
260,dwc_ext.usp_cn_pc_tracker_industry_mkt_fcst,505,508,3,0,1436,0.054
261,dwc_ext.usp_cn_pc_tracker_province_fcst,505,508,3,1,1436,0.031
262,dwc_ext.usp_cn_pc_tracker_province_hist,769,772,3,1,1438,0.033
263,dwc_ext.usp_cn_pc_tracker_sales_out_addons_hist,769,772,3,4,1438,0.04
264,dwc_ext.usp_cn_pc_tracker_sales_out_addons_province_model_hist,626,630,4,2,1438,0.037
265,dwc_ext.usp_cn_pc_tracker_sales_out_hist,626,630,4,4,1438,0.052
266,dwc_ext.usp_cn_pc_tracker_vertical_mkt_hist,505,508,3,0,1436,0.048
267,dwc_ext.usp_cn_pcd_tracker_tablet_industry_mkt_hist,906,909,3,4,1439,0.057
268,dwc_ext.usp_cn_smart_home_tracker_hist,506,509,3,4,1436,0.057
269,dwc_ext.usp_cn_svr_accelerator_hist,906,909,3,0,1439,0.037
270,dwc_ext.usp_cn_svr_edge_hist,906,909,3,2,1439,0.039
271,dwc_ext.usp_cn_svr_industry_hist,770,774,4,2,1439,0.032
272,dwc_ext.usp_cn_svr_tracker_province_idc_vertical_fcst,507,510,3,4,1436,0.034
273,dwc_ext.usp_cn_svr_tracker_province_lenovo_vertical_fcst,1078,1081,3,0,1438,0.044
274,dwc_ext.usp_cn_svr_tracker_province_lenovo_vertical_hist,711,714,3,2,1437,0.03
275,dwc_ext.usp_cn_svr_tracker_province_segment_lenovo_hist,1078,1081,3,3,1436,0.043
276,dwc_ext.usp_cn_tablet_vertical_mkt_fcst,507,511,4,2,1437,0.044
277,dwc_ext.usp_cn_wearable_channel_fcst,770,773,3,4,1438,0.046
278,dwc_ext.usp_cn_wearable_channel_hist,906,909,3,2,1439,0.041
279,dwc_ext.usp_cn_wearable_fcst,906,909,3,0,1439,0.034
280,dwc_ext.usp_cn_wearable_hist,626,629,3,3,1437,0.043
281,dwc_ext.usp_cn_wearable_segment_fcst,508,511,3,3,1436,0.041
282,dwc_ext.usp_cn_wearable_segment_hist,427,430,3,1,1435,0.056
283,dwc_ext.usp_la_infra_tracker_server_industry_hist,627,630,3,4,1437,0.049
284,dwc_ext.usp_la_infra_tracker_server_segment_hist,772,775,3,4,1438,0.037
285,dwc_ext.usp_us_pc_tracker_public_sector_fcst,508,511,3,2,1436,0.047
286,dwc_ext.usp_us_pc_tracker_public_sector_hist,508,511,3,1,1436,0.037
287,dwc_ext.usp_ww_ag_vr_headset_tracker_channel_fcst,772,775,3,0,1438,0.046
288,dwc_ext.usp_ww_ag_vr_headset_tracker_channel_hist,427,430,3,0,1435,0.051
289,dwc_ext.usp_ww_ag_vr_headset_tracker_segment_fcst,427,430,3,4,1435,0.046
290,dwc_ext.usp_ww_ag_vr_headset_tracker_segment_hist,772,775,3,2,1438,0.032
291,dwc_ext.usp_ww_black_book_le_fcst,906,909,3,2,1439,0.055
292,dwc_ext.usp_ww_ent_client_device_tracker_channel_fcst,772,775,3,1,1438,0.047
293,dwc_ext.usp_ww_ent_client_device_tracker_os_fcst,628,631,3,2,1437,0.032
294,dwc_ext.usp_ww_enterprise_infra_tracker_workloads_company_size_hist,909,912,3,0,1439,0.039
295,dwc_ext.usp_ww_enterprise_infra_tracker_workloads_deployment_env_hist,773,776,3,2,1438,0.04
296,dwc_ext.usp_ww_enterprise_infra_tracker_workloads_fcst,509,512,3,0,1436,0.055
297,dwc_ext.usp_ww_enterprise_infra_tracker_workloads_hist,629,633,4,4,1438,0.043
298,dwc_ext.usp_ww_enterprise_infra_tracker_workloads_infra_type_hist,510,513,3,2,1436,0.037
299,dwc_ext.usp_ww_enterprise_infra_tracker_workloads_scalability_hist,630,633,3,4,1437,0.046
300,dwc_ext.usp_ww_enterprise_infra_tracker_workloads_vertical_hist,774,777,3,0,1438,0.037
301,dwc_ext.usp_ww_enterprise_infra_tracker_workloads_virtualization_mthd_hist,909,912,3,1,1439,0.048
302,dwc_ext.usp_ww_gaming_tracker_monitor_channel_hist,386,390,4,3,1435,0.044
303,dwc_ext.usp_ww_gaming_tracker_monitor_fcst,511,514,3,2,1436,0.035
304,dwc_ext.usp_ww_gaming_tracker_monitor_segment_hist,909,912,3,3,1439,0.05
